SampleName,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,Group
GSM316685,8.870133018,9.448641174,9.937927915,7.5903863,9.397742378,7.237025197,5.356628283,9.258831909,7.402743956,7.478538593,7.461820116,5.469212165,9.678509442,9.435251554,7.909639956,8.506896422,13.37643209,LAML,Tumor
GSM316686,9.645971389,9.805442627,8.950525639,7.90492402,9.634398044,7.489362257,5.355193896,10.24474518,9.348032082,8.52978346,7.923766529,6.756914562,9.678147799,10.091901,7.785786263,9.5513849,13.51158436,LAML,Tumor
GSM316687,9.396978045,9.640330196,8.903712439,7.672155408,9.418440117,7.679516372,5.078893229,10.05091736,8.774678263,9.011146419,7.82571568,6.422551221,9.318164819,9.063984905,7.589882961,8.46092484,13.21399155,LAML,Tumor
GSM316688,9.253700632,9.332359932,8.723170788,7.573818256,9.339007889,7.570533497,5.73526261,9.390415084,8.664632073,8.570163628,7.696354212,6.177953831,8.39665427,8.655407921,7.270844729,8.692639888,13.22002674,LAML,Tumor
GSM316689,10.07115721,10.34750583,8.482278279,8.623859948,9.587597228,7.920596516,5.680150602,9.975782265,9.344505701,8.617465006,7.377696248,6.750165666,9.646790535,10.32059094,7.762807066,9.99318483,13.50270769,LAML,Tumor
GSM316690,9.36099494,10.17467761,9.12568516,7.398313954,9.885780958,7.55205939,5.369580682,10.21761792,8.641172126,7.7010293,8.105687912,6.619375561,9.530306271,9.89265687,8.107144091,9.720664253,13.40952898,LAML,Tumor
GSM316691,9.507234285,9.807297102,8.846541716,7.742746047,10.31373096,7.56905851,5.798075511,10.22933004,9.468125586,9.103861111,7.30663426,6.199263187,8.90511744,9.99807039,7.749978622,9.255820247,13.54366854,LAML,Tumor
GSM316692,9.606736981,10.61096417,9.145152325,7.608856377,10.24773282,7.950031729,5.251887926,10.33239935,8.82109437,7.756542748,7.902181423,6.622672049,10.30114015,10.29577623,8.114713234,9.782383275,13.39420088,LAML,Tumor
GSM316693,9.914959241,10.65942829,9.14532586,8.602965875,10.46507893,7.725041753,5.044231408,10.31434505,9.975061676,10.06945793,8.461363148,7.569443976,10.01542145,9.589107388,8.242540539,9.545621687,13.55229134,LAML,Tumor
GSM316694,9.790423086,10.01706363,8.505894518,7.676624784,9.952872965,7.664240276,5.053597207,10.36113532,8.064628236,7.508126531,7.947936765,5.883829343,9.708491242,9.869195093,7.888273592,9.537827882,13.54463431,LAML,Tumor
GSM316695,9.018210328,8.792993864,8.775266026,7.192768783,8.568168543,7.089046932,5.93182438,8.876459133,8.118908736,8.190622408,7.099143242,6.242911317,9.446576825,9.318762131,7.464927796,7.539425426,11.95256908,LAML,Tumor
GSM316696,9.735315599,10.07331899,8.585596606,8.513015943,9.605428452,7.639682555,5.134120114,10.46315301,8.543444519,9.167876314,7.554429853,6.532604612,8.772684472,10.39847783,7.727487842,9.8090354,13.53778159,LAML,Tumor
GSM316697,9.112983935,9.85719172,8.764697537,7.57995057,9.893053326,7.366791448,5.115990895,9.950810452,8.121548982,7.614164959,7.486883962,5.534101943,9.027336714,9.601732572,7.611302157,9.892591038,13.59179526,LAML,Tumor
GSM316698,9.299502697,9.480745206,9.288174383,7.733016291,9.298273239,7.533544899,6.487950946,9.631271803,8.278651071,7.979857266,6.923488472,5.929531154,9.112050605,9.343858503,7.805743242,8.685184378,13.12173125,LAML,Tumor
GSM316699,9.204306142,10.57921717,9.606080755,7.77711909,10.37790308,7.644698576,5.197988962,10.22350689,8.233476859,7.86677971,8.099158623,6.110244534,8.785282193,9.983461983,8.599119965,9.873296879,13.71848956,LAML,Tumor
GSM316700,9.23341459,10.32681168,8.894894429,7.8183305,10.15115111,7.504769986,4.890925813,10.41345714,9.819171482,10.51016539,7.410658579,6.510631649,8.280263444,9.539973131,7.656772092,9.690202818,13.3597595,LAML,Tumor
GSM316701,9.026135699,10.01012676,8.817297933,7.570982941,9.936572844,7.164831299,5.042235505,10.1755567,9.496740546,9.458632647,7.197159595,6.132389202,8.202370551,9.412078172,7.332507054,9.947420146,13.53670236,LAML,Tumor
GSM316702,9.772008668,10.46083288,8.952850664,8.266708552,9.875730371,7.927815448,5.420435959,9.97197181,9.423099375,10.44311896,8.555174438,6.89812122,9.652524359,9.581375387,7.953123767,8.787123464,13.1877993,LAML,Tumor
GSM316703,9.426034465,9.967816657,10.40679618,7.79041115,9.281340622,7.533735299,5.089633969,10.04406101,9.115539553,8.58034262,7.898461514,6.992631846,9.1576266,10.33388959,7.907460839,8.648074671,13.17043428,LAML,Tumor
GSM316704,9.614112453,10.34033849,10.10027088,7.448661127,9.214172898,7.60159781,5.214920076,10.28490568,8.756369578,8.680260412,8.111610502,6.837472146,8.867388203,9.930344556,8.508633671,9.058467685,13.35461328,LAML,Tumor
GSM316705,9.788452915,9.965097079,9.1705092,8.260823053,9.936033977,8.125032005,5.487108034,10.14110669,9.29583663,9.271029505,8.04581602,7.030335603,9.460252778,10.19012512,8.148992249,9.560463978,13.376014,LAML,Tumor
GSM316706,9.692479565,10.69683154,9.103050138,8.56540292,9.54015238,7.389623413,5.243991449,10.34008507,8.8208864,8.227392034,8.145451544,7.122202569,8.830970825,10.10235193,8.089035268,9.075581709,13.48925591,LAML,Tumor
GSM316707,8.508676975,9.059676875,8.791456275,7.669824374,9.50212566,7.185945685,4.950843669,9.607516903,7.900898313,7.443222478,7.07932542,5.974222729,8.332031047,9.003061474,7.995754731,9.143578188,13.4079913,LAML,Tumor
GSM316708,9.269386621,10.25821842,9.605770501,7.844578386,9.463716682,7.425336381,5.278566041,10.05048802,8.253631415,8.487564329,7.907830918,6.285570024,9.774326805,10.40539927,8.311829569,9.473407508,13.68928593,LAML,Tumor
GSM316709,8.96944284,9.724089894,8.90839124,7.969050125,9.671714186,7.607004612,5.533418995,10.06843168,8.62613215,8.505097576,7.613693914,6.424335204,8.1541061,9.164865502,7.345418258,9.359892927,13.4859508,LAML,Tumor
GSM316710,9.678592175,10.12540663,8.910799358,8.116101026,9.686019578,8.204133076,5.233677139,9.750675017,9.005986575,9.58797005,8.185462098,6.435667229,8.623771086,9.260961332,7.566219446,9.594863831,13.26200336,LAML,Tumor
GSM316711,8.963461621,9.782105236,9.403892687,7.788504055,10.00206956,7.724922181,6.628540084,10.25582851,8.861408719,8.158382452,7.720343584,6.767322799,8.846420983,9.505462384,7.823329581,9.161577103,13.43065942,LAML,Tumor
GSM316712,9.154191037,9.523060493,8.619260193,8.325838476,9.513556896,7.638332138,5.395070142,9.619785104,8.952044524,8.445826711,7.314056131,6.213546419,8.436475166,9.746636382,7.97157383,9.454080513,13.13123013,LAML,Tumor
