SampleName,Group,CODE
"GTEX-139TT-0006-SM-5O9CG",Normal,LAML
"GTEX-ZVE2-0006-SM-51MRW",Normal,LAML
"GTEX-ZDXO-0006-SM-4WKGF",Normal,LAML
"GTEX-Y9LG-0006-SM-4VBRK",Normal,LAML
"GTEX-139T6-0006-SM-5LU92",Normal,LAML
"GTEX-XUW1-0005-SM-4BOQ7",Normal,LAML
"GTEX-WFON-0005-SM-3NMC9",Normal,LAML
"GTEX-Y8DK-0005-SM-4RGNR",Normal,LAML
"GTEX-12WSI-0005-SM-5O99K",Normal,LAML
"GTEX-XOTO-0006-SM-4B64T",Normal,LAML
"GTEX-11PRG-0005-SM-5NQ6X",Normal,LAML
"GTEX-ZVZP-0006-SM-51MSW",Normal,LAML
"GTEX-14B4R-0006-SM-5O9A7",Normal,LAML
"GTEX-113JC-0006-SM-5O997",Normal,LAML
"GTEX-RVPU-0005-SM-2TF6L",Normal,LAML
"GTEX-11DXY-0006-SM-5NQ8N",Normal,LAML
"GTEX-R55F-0005-SM-2TF4W",Normal,LAML
"GTEX-11DXZ-0006-SM-5LZZH",Normal,LAML
"GTEX-ZF28-0005-SM-4WKH3",Normal,LAML
"GTEX-13VXT-0005-SM-5N9F3",Normal,LAML
"GTEX-POMQ-0006-SM-33HBY",Normal,LAML
"GTEX-XQ8I-0006-SM-4BOQ5",Normal,LAML
"GTEX-N7MS-0007-SM-26GME",Normal,LAML
"GTEX-N7MS-0007-SM-26GMV",Normal,LAML
"GTEX-QCQG-0006-SM-5SI8M",Normal,LAML
"GTEX-14E6D-0005-SM-5N9D7",Normal,LAML
"GTEX-RNOR-0005-SM-2TF4Z",Normal,LAML
"GTEX-12C56-0006-SM-5N9E9",Normal,LAML
"GTEX-Y5V5-0006-SM-4V6FE",Normal,LAML
"GTEX-Z93S-0005-SM-4RGLW",Normal,LAML
"GTEX-12WSG-0005-SM-5NQA2",Normal,LAML
"GTEX-ZDYS-0002-SM-4WKGR",Normal,LAML
"GTEX-NPJ8-0007-SM-26GMW",Normal,LAML
"GTEX-XBEC-0006-SM-4AT5T",Normal,LAML
"GTEX-117XS-0005-SM-5PNU6",Normal,LAML
"GTEX-ZG7Y-0006-SM-4WWEA",Normal,LAML
"GTEX-13S7M-0005-SM-5NQ76",Normal,LAML
"GTEX-14ICL-0006-SM-5SIAB",Normal,LAML
"GTEX-TML8-0005-SM-32QPA",Normal,LAML
"GTEX-NPJ7-0006-SM-3GACR",Normal,LAML
"GTEX-ZTPG-0006-SM-4YCFG",Normal,LAML
"GTEX-RU72-0006-SM-2TF65",Normal,LAML
"GTEX-132QS-0005-SM-5LZXK",Normal,LAML
"GTEX-W5WG-0006-SM-3GIJT",Normal,LAML
"GTEX-13U4I-0006-SM-5N9CI",Normal,LAML
"GTEX-U4B1-0006-SM-3DB8E",Normal,LAML
"GTEX-11ZTS-0005-SM-5NQ8A",Normal,LAML
"GTEX-11WQK-0005-SM-5O9AV",Normal,LAML
"GTEX-13W3W-0005-SM-5SI9Y",Normal,LAML
"GTEX-RM2N-0006-SM-2TF5H",Normal,LAML
"GTEX-11EMC-0006-SM-5O9DN",Normal,LAML
"GTEX-OIZI-0005-SM-2XCED",Normal,LAML
"GTEX-R55E-0006-SM-2TC5G",Normal,LAML
"GTEX-X4XY-0006-SM-46MV2",Normal,LAML
"GTEX-R55D-0006-SM-3GIJS",Normal,LAML
"GTEX-11EM3-0005-SM-5N9DK",Normal,LAML
"GTEX-ZTSS-0005-SM-4YCDR",Normal,LAML
"GTEX-YECK-0005-SM-4W217",Normal,LAML
