Group,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,SampleName
Tumor,43.35019928,35.68039216,9.769957871,17.11056728,13.5497425,11.87025042,0.019999518,89.75273057,17.01948214,3.949951126,5.23004797,0.510001701,17.05018382,15.31959051,5.679823185,36.38975303,427.6529336,LAML,sample35
Tumor,43.38928027,35.78938108,9.799803292,17.14975283,13.56007837,11.89001532,0.029999742,90.72222371,17.70050353,3.960096916,5.270085158,0.520016151,17.78043682,15.38983927,5.690070297,36.4200346,427.8901411,LAML,sample36
Tumor,43.47056111,35.9211053,10.05022893,17.42053694,13.8603897,12.46995463,0.029999742,91.23934521,17.89046973,3.969993502,5.289851772,0.530005975,17.800168,15.56040049,5.7599231,36.51103058,431.6435612,LAML,sample37
Tumor,43.69108354,36.07081223,10.05022893,17.44954271,13.8603897,12.50024608,0.029999742,92.37844669,18.1301685,4.100068952,5.420154036,0.539999813,17.90039362,15.70016823,5.970113533,36.8108921,433.4124156,LAML,sample38
Tumor,43.7607947,36.16093569,10.13980306,17.46043233,13.87961899,12.62039963,0.029999742,92.71844336,18.37053159,4.17986077,5.600060455,0.560010625,17.93019832,15.76014018,5.999987813,36.98993854,433.6828773,LAML,sample39
Tumor,44.55043511,36.38975303,10.14964853,17.51012661,14.10952734,12.77000362,0.029999742,93.739462,18.82037339,4.230003854,5.679823185,0.560010625,17.98995668,16.18977344,6.040052816,37.31959288,437.0021898,LAML,sample40
Tumor,44.7113045,36.43013406,10.18983245,17.55996232,14.12029018,12.81967219,0.029999742,94.67980059,18.88048068,4.289958654,5.709828262,0.570014783,18.17042935,16.2201028,6.099806613,37.3610057,439.401723,LAML,sample41
Tumor,44.9692812,36.96943209,10.30991172,17.62948185,14.51025107,12.8802438,0.029999742,95.66935191,19.19987297,4.420083554,5.720129497,0.59998463,18.24995435,16.54946676,6.190118186,38.1487051,442.5807033,LAML,sample42
Tumor,45.35118015,37.68874163,10.5997909,17.66005964,14.75981014,12.8999017,0.040000917,96.72286571,19.34951422,4.560157537,5.749948825,0.620014991,18.43047981,16.5597947,6.260029939,39.21036609,444.7949988,LAML,sample43
Tumor,45.70146262,37.70964706,10.72024097,17.86939973,14.97001364,13.18011035,0.040000917,98.48180853,19.55039984,4.629923741,5.799993489,0.629994791,18.45988742,16.77003709,6.270019475,39.33013733,446.1227055,LAML,sample44
Tumor,45.94922434,38.45935036,10.77985729,17.89046973,15.06996614,13.20022587,0.040000917,100.3631346,19.75063258,4.740028284,5.799993489,0.629994791,18.76045745,16.97000386,6.270019475,39.73018726,448.6345082,LAML,sample45
Tumor,47.15926762,38.52872543,10.8202856,18.05992653,15.08982737,13.66955585,0.040000917,100.9631985,20.01941535,4.930067494,5.829824903,0.649986712,19.12946452,17.33020428,6.280024949,39.74946963,453.606285,LAML,sample46
Tumor,47.80103063,38.70002844,10.83004096,18.11007153,15.22009242,13.7503371,0.040000917,101.2786139,20.23005991,4.949931539,5.990013149,0.659989839,19.23984161,17.360263,6.300083815,41.00889089,454.4560047,LAML,sample47
Tumor,48.07016959,38.83977278,10.89026783,18.18050852,15.30048747,13.87000102,0.040000917,102.9704087,20.24970178,5.160176614,6.030011558,0.679987395,19.27054056,17.39037386,6.520030647,41.00889089,455.7177754,LAML,sample48
Tumor,48.20029493,39.46942094,11.00028392,18.30062696,15.31959051,13.92974009,0.040000917,104.9011183,20.30029706,5.210143561,6.12013845,0.750007906,19.48951086,17.51983953,6.549931213,41.1912207,456.6664019,LAML,sample49
Tumor,48.37099048,39.6696464,11.00028392,18.33999497,15.41012205,14.08021581,0.040000917,107.4920817,21.00020204,5.289851772,6.129904788,0.750007906,19.53008241,17.67965724,6.569941053,41.19978728,458.2200737,LAML,sample50
Tumor,48.41124191,39.68889939,11.06989536,18.62957118,15.69037638,14.12029018,0.040000917,107.5964443,21.71068816,5.300130293,6.230156709,0.76001669,19.73968299,17.74965062,6.590012013,41.31990652,459.87465,LAML,sample51
Tumor,49.29846208,39.7797894,11.38035167,18.8099395,15.70996618,14.20964369,0.040000917,107.9176204,21.81931464,5.320009576,6.300083815,0.780003003,19.91974918,17.89046973,6.639997705,42.14138328,461.855224,LAML,sample52
Tumor,49.44904744,40.00931273,11.41986486,18.85955206,15.76014018,14.41001454,0.049998549,108.3223161,21.84049949,5.479851324,6.329853451,0.810014717,19.91974918,17.98995668,6.669985937,42.17060428,461.9512743,LAML,sample53
Tumor,49.45933136,40.81039161,11.44998661,18.96968674,15.86976758,14.48010713,0.049998549,108.932207,22.07030456,5.850068061,6.400011941,0.840012996,19.95983268,17.99993576,6.729902692,42.36984513,462.8807909,LAML,sample54
Tumor,49.46961742,40.92937558,11.54002936,18.98020924,16.02008556,14.55962119,0.049998549,109.2119406,22.11011695,6.270019475,6.420008907,0.840012996,19.99029465,18.07996785,6.75982826,42.49926701,463.362309,LAML,sample55
Tumor,49.72057185,40.96911394,11.5897338,19.05006837,16.15054198,14.56971734,0.049998549,110.9516258,23.28998906,6.329853451,6.460190448,0.849981692,20.09031377,18.14022534,6.789886877,42.59068791,463.4907984,LAML,sample56
Tumor,49.75849711,41.06008942,11.7702857,19.27054056,16.2099867,14.60004782,0.049998549,111.5067366,23.60039124,6.360204645,6.61014428,0.860008867,20.43017116,18.38964278,6.799778951,42.708941,465.0032204,LAML,sample57
Tumor,49.82061904,41.58136763,11.79969562,19.34012757,16.2201028,14.67004774,0.060001985,112.0413237,24.04958365,6.360204645,6.639997705,0.86997306,20.45000732,18.39984355,6.810157532,42.78894739,465.5514812,LAML,sample58
Tumor,50.81109348,41.74019504,11.82999905,19.50978609,16.47963585,14.70976125,0.060001985,112.2200884,24.05958809,6.549931213,6.689898691,0.900000618,20.61939409,18.75005677,6.839965717,42.96132009,469.8957568,LAML,sample59
Tumor,51.1396999,42.17937453,11.99016562,19.75063258,16.61959356,14.82954798,0.060001985,112.4770751,24.20008796,6.639997705,6.789886877,0.900000618,20.91014276,18.94997277,6.910026447,43.09852308,472.7379742,LAML,sample60
Tumor,51.17161308,42.27010732,12.12977653,19.76021846,16.78981089,14.83983129,0.060001985,112.633111,24.40053501,6.859910278,6.789886877,0.909985502,21.15067486,19.23050816,6.939790579,43.23017071,472.8690634,LAML,sample61
Tumor,51.35995062,42.29062236,12.13987083,19.82057916,17.01948214,14.92028625,0.070001829,112.7502799,24.48015976,6.920093525,6.789886877,0.940021767,21.64007109,19.27054056,7.040095938,43.59125711,473.5578786,LAML,sample62
Tumor,51.38131549,42.39040858,12.31020438,19.87974616,17.03010338,15.06996614,0.080001925,112.7580955,25.18936288,7.129978232,6.799778951,0.959994447,21.7996614,19.3602474,7.099890698,43.62148343,474.6094316,LAML,sample63
Tumor,51.48827317,42.41098201,12.31959479,20.0305201,17.05964162,15.28034898,0.080001925,113.4479935,26.13017333,7.310158355,6.839965717,0.969970924,22.70025262,19.50978609,7.180075845,43.69108354,474.7081343,LAML,sample64
Tumor,51.65986877,42.7504071,12.4302546,20.22024612,17.28940791,15.35041781,0.080001925,113.5109205,26.7199612,7.310158355,6.849930739,1.050027196,22.73962499,19.61011965,7.200013642,44.0102365,478.5072539,LAML,sample65
Tumor,51.92913245,42.75929793,12.54973544,20.23005991,17.34943586,15.41973901,0.080001925,113.7314397,27.2908824,7.359990962,6.869904353,1.050027196,22.92003047,19.64958013,7.220006794,44.07129134,479.5365569,LAML,sample66
Tumor,53.10121004,42.77115525,12.60990581,20.3101497,17.64048375,15.58955088,0.080001925,113.7629774,27.33063764,7.610073752,6.910026447,1.059981867,22.95023688,19.77940417,7.230024177,44.08045687,483.1733303,LAML,sample67
Tumor,53.13066432,43.0298669,12.65017957,20.41035425,17.88055134,15.65018514,0.089999347,114.0867435,27.45025116,7.80996069,6.930175267,1.080025084,23.06026904,19.83019899,7.230024177,44.35016205,488.1216881,LAML,sample68
Tumor,53.57073071,43.29914647,12.70026248,20.48973742,17.89046973,15.83021415,0.089999347,115.936221,27.50930062,7.990132634,6.949901014,1.110031715,23.34008952,19.96952009,7.240055457,44.46097102,488.5955952,LAML,sample69
Tumor,53.57815784,43.57011114,12.890069,20.499682,18.05992653,15.85986997,0.089999347,116.2500551,28.11072347,8.000109112,6.960026176,1.140000956,23.53993961,20.04024182,7.260159783,44.73920619,488.934382,LAML,sample70
Tumor,54.2809258,44.00108558,12.97973348,20.53950861,18.19059329,15.93038734,0.089999347,116.8397732,28.16924098,8.150129573,7.080230117,1.150009707,23.93980902,20.09031377,7.279815243,44.89142112,492.6424276,LAML,sample71
Tumor,54.71155409,44.38091459,13.00044437,20.67951202,18.26007763,15.94032895,0.099998096,117.4080657,28.22983704,8.370000131,7.250100652,1.16996666,23.96969776,20.17963968,7.30002996,44.99110621,493.1549056,LAML,sample72
Tumor,55.16853823,44.51030828,13.01036125,20.74987117,18.48037255,15.9602308,0.099998096,119.476902,28.2396228,8.389751335,7.30002996,1.190021949,24.37010905,20.36936605,7.329949157,45.05039893,498.2745591,LAML,sample73
Tumor,55.24124325,44.92877712,13.08996913,20.75994199,18.77997427,16.0100942,0.099998096,119.5183171,28.72927705,8.389751335,7.440017954,1.23999732,24.59070741,20.67951202,7.340119058,45.6191726,500.6633773,LAML,sample74
Tumor,55.34088963,44.95993086,13.09995431,21.2005818,19.1493652,16.10024119,0.10999757,120.9433865,29.38994823,8.439918532,7.509973979,1.270031689,24.6094648,20.71968798,7.349793532,45.65080506,500.732789,LAML,sample75
Tumor,55.40998086,45.17861276,13.09995431,21.28008792,19.25985712,16.24035393,0.120001765,121.0104709,29.93065196,8.65979824,7.509973979,1.270031689,24.65043969,20.75994199,7.370202539,46.32017678,501.1841992,LAML,sample76
Tumor,55.52917356,45.20053936,13.12995554,21.46973985,19.43015833,16.31030154,0.120001765,121.0524176,30.14929055,8.769748693,7.540230778,1.280026216,25.02056288,20.87972645,7.430224735,46.49065892,504.1457735,LAML,sample77
Tumor,55.59079266,45.21934206,13.13997121,21.53980111,19.48951086,16.34992105,0.120001765,122.3515195,30.27074634,9.099841823,7.570084657,1.290009843,25.05006442,21.03954253,7.460160278,46.92124058,505.0551573,LAML,sample78
Tumor,55.67948992,45.30091086,13.21029514,21.58015241,19.67956863,16.5597947,0.129996484,122.6317073,30.61046106,9.239686276,7.570084657,1.329990247,25.31012979,21.10966324,7.460160278,47.1886969,511.1125399,LAML,sample79
Tumor,56.07843853,45.48024998,13.26995235,21.71971968,19.84945264,16.70969695,0.129996484,123.3221641,31.1498581,9.30976688,7.60005672,1.329990247,25.56048948,21.2005818,7.490216411,47.21159904,511.1479688,LAML,sample80
Tumor,56.19127869,45.60968714,13.2800748,21.87989735,20.0305201,16.80960801,0.129996484,123.6988551,31.32090381,9.329794958,7.630147435,1.349974085,25.87961508,21.29041607,7.519872295,47.47083788,513.7765352,LAML,sample81
Tumor,56.23024171,45.6191726,13.31971853,22.03056386,20.06943527,17.05018382,0.129996484,123.7503111,31.34044952,9.409686696,7.659826246,1.349974085,25.91012949,21.41029277,7.570084657,47.54987554,515.2030056,LAML,sample82
Tumor,56.51157413,45.78072761,13.35022303,22.09020179,20.23987846,17.16045537,0.129996484,123.7588892,31.6899719,9.500135874,7.739892961,1.360031069,26.24089501,21.42959499,7.630147435,47.9503657,520.6237184,LAML,sample83
Tumor,56.55859953,46.07999617,13.37986986,22.22074183,20.24970178,17.22958764,0.140003219,124.6110695,31.79999499,9.51001954,7.88011635,1.369972849,26.29916599,21.45932471,7.640204122,48.13018373,520.8763884,LAML,sample84
Tumor,56.8809887,46.10875196,13.40958252,22.33037223,20.32000713,17.64048375,0.149997859,124.853153,31.87944805,9.570201224,7.939886087,1.400041801,26.50964746,21.58015241,7.669922044,48.20029493,528.2207878,LAML,sample85
Tumor,57.32032289,46.17911946,13.4402928,22.70025262,20.34960811,17.86939973,0.159996363,124.8877747,32.21934418,9.68969408,7.95972596,1.449952208,26.59984187,21.62957333,7.709903964,48.23037385,532.0423542,LAML,sample86
Tumor,57.32826986,46.69088734,13.44961283,22.72071774,20.41035425,18.00992036,0.159996363,124.957047,32.71898088,9.709866278,8.02009945,1.460044379,26.64043707,21.76040801,7.750094276,48.37099048,544.277033,LAML,sample87
Tumor,57.55921198,46.80105589,13.47013963,22.7301694,20.48973742,18.11007153,0.170003766,125.3213571,33.499251,9.820204694,8.040139732,1.480029113,26.82946215,21.81024172,7.789954018,48.83929469,544.9187611,LAML,sample88
Tumor,57.55921198,46.8789784,13.50005274,22.82964954,20.71968798,18.15028776,0.180004817,125.4082541,33.62021602,9.889887648,8.079810491,1.490020404,26.9992339,21.84049949,7.830018738,49.09045426,545.1076487,LAML,sample89
Tumor,57.6590427,47.01891416,13.5403531,22.84072972,20.80027421,18.30950911,0.189994103,126.5609567,33.92924636,10.21033792,8.169928343,1.490020404,27.38942981,21.86928325,7.839795323,49.11087507,547.1897378,LAML,sample90
Tumor,59.09137177,47.36894199,13.62037087,22.89938583,20.82046969,18.47012714,0.200004541,127.2029799,34.2696108,10.24010867,8.180129286,1.509996166,27.46928551,21.8905166,7.9299847,49.32922628,551.7983703,LAML,sample91
Tumor,59.12824701,47.78115446,13.79042858,23.02991781,20.99001466,18.49959801,0.200004541,127.3971043,34.37905625,10.24010867,8.189775203,1.530027292,27.57038815,22.00004279,7.939886087,50.36925048,553.1003296,LAML,sample92
Tumor,59.27186961,47.98028865,13.80956081,23.25933549,21.01039436,18.49959801,0.20999782,129.1397052,34.46017529,10.2999108,8.210239411,1.530027292,27.81031392,22.00004279,7.95972596,50.62125958,553.9828083,LAML,sample93
Tumor,59.37878646,48.11017069,13.80956081,23.27062421,21.09942277,18.58056358,0.20999782,129.2919679,34.52951629,10.37012146,8.210239411,1.540035397,27.99017221,22.22074183,7.990132634,50.8005285,553.9828083,LAML,sample94
Tumor,59.49001963,48.34082387,13.8603897,23.34008952,21.34065273,18.77997427,0.20999782,129.5790671,34.76005588,10.38019054,8.21992083,1.540035397,28.13996702,22.3195396,8.040139732,50.94157569,555.0205583,LAML,sample95
Tumor,59.51064122,48.46832211,13.8603897,23.35951217,21.48016004,18.79951139,0.219997201,129.6509415,34.90008543,10.56970725,8.230184186,1.540035397,28.16924098,22.52938404,8.050178641,51.34927153,556.3686837,LAML,sample96
Tumor,59.51889185,49.38054262,13.91044136,23.77938225,21.79059665,19.01049395,0.219997201,130.4441957,35.18915589,10.66021531,8.28973496,1.550001412,28.27096003,22.62955404,8.089898927,51.71002512,559.5787713,LAML,sample97
Tumor,59.87060332,49.62072557,14.08021581,23.78927429,21.91025175,19.03950714,0.219997201,130.8426409,35.94103027,10.89026783,8.300085475,1.560031879,28.29056345,22.76959366,8.089898927,52.18171129,566.9184673,LAML,sample98
Tumor,60.6517015,49.68956359,14.13988002,23.8008202,21.98937041,19.19987297,0.230005643,130.8789235,35.98091337,10.90991358,8.330059606,1.579959051,28.61995686,23.15958839,8.099999958,53.51876959,568.5712982,LAML,sample99
Tumor,60.7611073,49.78954839,14.14968513,23.88014327,22.09939117,19.23050816,0.239999156,133.2497645,35.99089106,11.13994728,8.449870752,1.589962687,28.62987784,23.19975742,8.099999958,54.02942032,568.61071,LAML,sample100
Tumor,61.23889907,49.8689897,14.24021173,23.93980902,22.16997022,19.27989344,0.239999156,134.213804,36.12085305,11.43016074,8.449870752,1.589962687,28.69942111,23.30937001,8.110113599,54.10812475,569.2416704,LAML,sample101
Tumor,61.23889907,49.8689897,14.28965364,24.20008796,22.47011801,19.52060816,0.250007086,134.558459,36.15091087,11.719807,8.479797874,1.600029621,28.99938202,23.32068302,8.139966036,54.3185642,569.6363761,LAML,sample102
Tumor,62.20147153,49.92086753,14.32039378,24.22022623,22.70025262,19.7205358,0.259996072,135.0443356,36.18099369,11.90981312,8.499808144,1.600029621,29.05974937,23.34008952,8.150129573,54.68880451,573.3202727,LAML,sample103
Tumor,62.62978255,50.12891907,14.32039378,24.5107231,22.70969576,19.87010231,0.259996072,135.0724204,36.27893586,11.9801958,8.570216628,1.600029621,29.05974937,23.39029776,8.250177405,54.70017812,575.3505789,LAML,sample104
Tumor,63.09164814,50.53011118,14.36015622,24.5107231,22.81066743,20.0305201,0.259996072,135.4756117,37.0592318,12.13987083,8.640010294,1.620017875,29.10006406,23.53993961,8.259905912,54.90911395,583.1800375,LAML,sample105
Tumor,63.3809438,50.6282778,14.46004596,24.88047315,22.95978402,20.16006576,0.27000662,136.10624,37.27047477,12.28974107,8.729716163,1.649954088,29.17074939,23.54973205,8.259905912,55.11884783,588.0917929,LAML,sample106
Tumor,63.59217348,50.63880696,14.47007306,25.01015887,22.99004282,20.52954471,0.27000662,136.8535888,37.60002278,12.37008387,8.740010068,1.690027358,29.21931853,23.62985624,8.270219187,55.31021008,588.5811582,LAML,sample107
Tumor,63.75105757,50.82166066,14.54953203,25.18063408,23.06986194,20.6895487,0.310002913,137.1479722,37.62870306,12.50978144,8.879863753,1.709952846,29.44092302,23.66920015,8.279971325,55.62162784,588.8668093,LAML,sample108
Tumor,63.87933618,51.39912633,14.6203032,25.54986096,23.14995817,20.78009832,0.319989943,137.2716116,37.64957519,12.65982929,8.879863753,1.709952846,29.69918475,23.96969776,8.28973496,55.77992681,596.9215726,LAML,sample109
Tumor,64.64100313,51.52040388,14.68022046,25.56048948,23.27062421,20.84068477,0.360007321,137.4715724,37.87993407,12.73994163,8.949696808,1.709952846,29.75069586,24.05958809,8.28973496,55.96970443,605.2123495,LAML,sample110
Tumor,64.92840123,51.81048396,14.78028716,25.72044877,23.35951217,20.92029137,0.38998902,137.9392809,37.90882785,12.80990065,8.949696808,1.719943818,29.80023058,24.07960945,8.309872826,56.12121327,610.3942817,LAML,sample111
Tumor,65.17188704,51.81048396,14.82029908,25.74006787,23.46987953,21.1301591,0.400007187,139.3809564,38.02989537,12.98963457,8.96025008,1.729993131,29.80023058,24.40053501,8.330059606,56.2887369,610.521223,LAML,sample112
Tumor,65.43896175,51.96153826,14.93995023,25.85988962,23.54973205,21.20940113,0.400007187,140.6523398,38.09057404,13.1199475,9.010079832,1.80000227,29.90991211,24.48015976,8.370000131,56.92042996,611.9193212,LAML,sample113
Tumor,65.53882883,52.25048013,15.06996614,25.96946607,23.55952856,21.30961023,0.459987648,142.8829442,38.33957318,13.1199475,9.060186666,1.840013237,30.14929055,24.57026111,8.379869914,57.03891789,612.4709658,LAML,sample114
Tumor,66.17792721,52.49006632,15.08982737,26.1102569,24.00960748,21.4905853,0.470000338,143.120837,38.51003523,13.5103507,9.070241418,1.849993719,30.23928854,24.57026111,8.389751335,57.09825432,612.6832692,LAML,sample115
Tumor,66.34787047,52.69056044,15.16007346,26.1102569,24.02958725,21.49952526,0.470000338,143.2995166,38.83977278,13.7503371,9.070241418,1.900054642,31.19091017,24.77033987,8.400226715,57.73903192,613.4481709,LAML,sample116
Tumor,66.36166876,52.95051292,15.18952683,26.13923127,24.03958337,21.76040801,0.470000338,143.8668081,39.36013726,13.82009486,9.070241418,1.909963205,31.67899055,24.80986279,8.429978031,57.87125681,618.1862119,LAML,sample117
Tumor,66.8788636,53.27079543,15.33978071,26.25909081,24.05958809,21.9604286,0.479997066,144.0863629,39.49952711,13.9703546,9.159967684,1.949981368,31.91924899,24.93918048,8.429978031,58.73202339,619.2583774,LAML,sample118
Tumor,67.05060682,53.45944717,15.47005848,26.62935951,24.15986163,21.9604286,0.479997066,144.6266917,40.07870542,14.24021173,9.159967684,1.969962052,31.93916809,25.10047089,8.439918532,58.76867439,619.3442309,LAML,sample119
